epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1529.81,0.88318,1.0165,1.33664,0.78482,0.82489,0.8021,0.62773,0.8851,0.78077,1.22159,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,1582.77,0.87053,1.00451,1.32505,0.80136,0.80913,0.79939,0.62204,0.87678,0.79392,1.20925,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,1634.02,0.87754,1.01597,1.33311,0.78392,0.82228,0.80047,0.62281,0.87522,0.77991,1.20828,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,1685.79,0.87419,0.99465,1.3237,0.77562,0.83045,0.79862,0.63035,0.87574,0.79915,1.20982,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,1736.24,0.86776,0.98346,1.32416,0.7782,0.82248,0.78918,0.62765,0.86076,0.80572,1.20359,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,1791.09,0.86559,0.9826,1.32312,0.78022,0.81671,0.79216,0.62834,0.86722,0.79294,1.20166,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,1843.05,0.84874,0.96489,1.31439,0.77349,0.82992,0.80631,0.63687,0.86199,0.79694,1.20356,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,1893.25,0.86403,0.95703,1.31256,0.81428,0.80123,0.8052,0.63589,0.87399,0.78811,1.20615,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,1943.32,0.86252,0.96536,1.31374,0.76708,0.83146,0.79976,0.634,0.88149,0.77255,1.21513,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,1993.7,0.84638,0.94206,1.3008,0.81152,0.81762,0.81047,0.63953,0.86043,0.76457,1.20225,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,2046.74,0.84877,0.93531,1.30235,0.80947,0.81742,0.81749,0.63934,0.87302,0.76413,1.2143,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,2096.93,0.84047,0.93221,1.297,0.79194,0.83702,0.81452,0.6444,0.84997,0.74686,1.19694,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,2147.11,0.83953,0.93442,1.29619,0.81586,0.80238,0.80434,0.64036,0.86326,0.74853,1.21274,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,2197.56,0.82987,0.89992,1.28747,0.82149,0.82855,0.81069,0.64067,0.87097,0.76036,1.20904,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,2248.19,0.83072,0.90299,1.28927,0.80696,0.82806,0.81034,0.64152,0.85139,0.74921,1.19375,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,2317.83,0.82862,0.90835,1.28926,0.7989,0.82173,0.81436,0.64822,0.8547,0.74915,1.19893,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,2373.08,0.82353,0.88489,1.28048,0.78625,0.82654,0.80232,0.63949,0.84683,0.76299,1.19507,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,2427.04,0.81746,0.88498,1.28004,0.8192,0.81505,0.8154,0.64943,0.85869,0.73097,1.19472,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,2478.17,0.82013,0.87131,1.27909,0.80065,0.82037,0.80768,0.63821,0.86831,0.74377,1.21697,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,2528.61,0.80838,0.86952,1.27227,0.81207,0.80892,0.80604,0.63924,0.86596,0.7555,1.21404,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,2583.27,0.81826,0.87403,1.27794,0.81025,0.82485,0.8083,0.63877,0.85628,0.74417,1.19777,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,2638.19,0.81558,0.8675,1.27622,0.82001,0.79672,0.81883,0.65428,0.83828,0.73426,1.18722,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,2688.58,0.81177,0.86249,1.27286,0.80192,0.82642,0.80506,0.64082,0.85027,0.74507,1.19738,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,2741.57,0.80701,0.85358,1.2683,0.79742,0.83513,0.8159,0.65019,0.84924,0.73053,1.19938,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,2791.53,0.79962,0.84557,1.2687,0.80775,0.81688,0.81193,0.64727,0.8566,0.74275,1.20197,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,2841.66,0.80285,0.83673,1.26176,0.78599,0.827,0.80915,0.64701,0.84831,0.74396,1.19388,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,2905.13,0.80205,0.83555,1.25987,0.78278,0.82534,0.81488,0.64929,0.86477,0.74669,1.21174,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,2955.18,0.78949,0.82852,1.25573,0.78708,0.82653,0.80617,0.64338,0.86179,0.74361,1.21125,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,3005.17,0.78753,0.81797,1.25298,0.78032,0.84015,0.81403,0.65017,0.86375,0.73411,1.215,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,3055.22,0.78508,0.81218,1.24913,0.80475,0.82389,0.80654,0.64681,0.84973,0.74105,1.19978,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
