epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2002.23,0.96565,1.20737,1.43031,0.74368,0.79876,0.77523,0.59689,0.94183,0.82494,1.30346,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2064.43,0.9648,1.19126,1.42431,0.76995,0.79506,0.77224,0.58545,0.95478,0.83543,1.31364,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2126.37,0.96369,1.17929,1.42487,0.79325,0.77492,0.77867,0.59386,0.94947,0.8235,1.3169,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2188.29,0.95118,1.17145,1.41188,0.76972,0.8095,0.78126,0.60206,0.92453,0.81816,1.2776,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2250.08,0.95229,1.17359,1.41324,0.74209,0.81863,0.78981,0.6134,0.92061,0.80666,1.27061,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2312.34,0.94163,1.15621,1.4079,0.78483,0.76631,0.78249,0.60511,0.92763,0.82475,1.28251,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2374.45,0.94598,1.14152,1.40718,0.73243,0.83015,0.78254,0.60753,0.90735,0.79616,1.26017,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2436.13,0.93569,1.13575,1.39558,0.76542,0.80139,0.77488,0.60667,0.92153,0.81631,1.28183,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2497.49,0.93618,1.13021,1.39805,0.75909,0.81152,0.7813,0.59254,0.92932,0.80724,1.2832,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2558.88,0.93527,1.11693,1.39385,0.76616,0.80408,0.79298,0.60865,0.92211,0.78474,1.2848,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2620.31,0.92437,1.11323,1.39623,0.78419,0.79718,0.79263,0.61246,0.93032,0.79573,1.28312,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2681.69,0.94071,1.11898,1.39408,0.79094,0.82213,0.79458,0.61005,0.90671,0.78969,1.26322,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2743.21,0.91465,1.09072,1.37889,0.78759,0.82117,0.80347,0.62074,0.91766,0.79397,1.26662,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2804.67,0.91665,1.08805,1.38194,0.78496,0.8308,0.80366,0.6244,0.92422,0.74954,1.28047,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2866.56,0.90576,1.06736,1.37525,0.78233,0.82507,0.80124,0.62013,0.90998,0.77565,1.26746,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
