epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3317.98,0.96768,1.2001,1.42507,0.77132,0.80712,0.77982,0.60183,0.9392,0.83541,1.28768,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3422.06,0.96655,1.19385,1.42473,0.77277,0.79449,0.7702,0.59478,0.94556,0.83279,1.30283,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3518.31,0.95835,1.18421,1.42071,0.75989,0.79437,0.78204,0.60093,0.93726,0.80301,1.2926,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3586.13,0.96104,1.17315,1.41354,0.75712,0.81891,0.77886,0.59076,0.95406,0.84969,1.29699,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3653.77,0.9527,1.15596,1.41164,0.75355,0.82974,0.77957,0.59727,0.95594,0.82268,1.32114,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3720.99,0.95593,1.1615,1.41262,0.76165,0.7971,0.77665,0.60247,0.92346,0.81422,1.27348,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3788.79,0.94488,1.15536,1.40685,0.76986,0.80769,0.78614,0.6131,0.9241,0.80155,1.27537,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3856.23,0.94006,1.13292,1.40271,0.77469,0.79654,0.78344,0.60095,0.92809,0.79838,1.28145,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3923.59,0.937,1.1256,1.39578,0.75824,0.81714,0.78019,0.60382,0.93961,0.80545,1.28689,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3990.67,0.92976,1.12472,1.39372,0.77686,0.80737,0.78281,0.60529,0.94107,0.78717,1.29353,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4058.32,0.933,1.11349,1.39587,0.77772,0.82029,0.7862,0.61214,0.90964,0.81866,1.25996,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4125.84,0.92467,1.09553,1.38141,0.79768,0.79764,0.79864,0.6174,0.92652,0.78787,1.27564,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4193.89,0.9168,1.08311,1.37832,0.78915,0.81436,0.80749,0.62407,0.91631,0.75083,1.26632,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4283.43,0.91452,1.07765,1.3807,0.79156,0.80201,0.79737,0.62328,0.90708,0.77066,1.26295,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4363.1,0.91864,1.08202,1.3834,0.76931,0.82125,0.79967,0.62104,0.91966,0.7696,1.26985,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4437.4,0.91206,1.06465,1.37472,0.79945,0.78511,0.80432,0.62521,0.92579,0.76387,1.27399,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4505.32,0.90129,1.04994,1.36639,0.76211,0.81358,0.79924,0.62552,0.90884,0.76498,1.25604,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4572.99,0.9077,1.0454,1.36662,0.79305,0.79067,0.79314,0.61955,0.88657,0.77409,1.24064,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4649.78,0.90488,1.041,1.36935,0.78507,0.85416,0.80698,0.63152,0.88976,0.75589,1.24016,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4719.67,0.90014,1.04363,1.36677,0.79635,0.8169,0.78795,0.6195,0.90427,0.77877,1.25227,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4786.83,0.90049,1.03582,1.3658,0.812,0.82902,0.81796,0.63801,0.88988,0.73622,1.2436,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4854.56,0.90491,1.03518,1.36644,0.81055,0.82696,0.81614,0.63381,0.88782,0.73447,1.24148,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4923.44,0.90896,1.02461,1.36839,0.79007,0.8266,0.8072,0.62603,0.90213,0.75497,1.24314,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5001.68,0.8867,0.99864,1.35529,0.79154,0.81972,0.80539,0.63487,0.89287,0.76058,1.2444,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5069.87,0.88312,1.00666,1.3488,0.78926,0.83129,0.81946,0.64552,0.89273,0.73201,1.24291,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5138.36,0.8828,0.99103,1.35292,0.80187,0.82436,0.80595,0.63297,0.88125,0.75131,1.23586,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5205.65,0.87741,1.00131,1.34821,0.78405,0.85792,0.824,0.65004,0.88134,0.72058,1.2371,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5273.44,0.88074,0.99501,1.34925,0.80342,0.84026,0.82992,0.64801,0.89257,0.70739,1.24357,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5345.01,0.87746,0.98415,1.34666,0.80176,0.81082,0.81504,0.6398,0.88976,0.72084,1.23411,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5424.95,0.86844,0.97974,1.33874,0.80969,0.82152,0.81955,0.6451,0.88568,0.71657,1.23261,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5690.85,0.87266,0.97417,1.33888,0.80349,0.82948,0.82472,0.64348,0.88502,0.714,1.23135,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5759.1,0.85852,0.95209,1.32849,0.77363,0.85456,0.81142,0.64339,0.87735,0.7146,1.22825,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5827.03,0.85398,0.95114,1.33103,0.81886,0.8245,0.8283,0.64989,0.88157,0.70576,1.23231,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5894.53,0.85402,0.94981,1.3306,0.81185,0.83096,0.82429,0.64316,0.887,0.70804,1.23899,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
