epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,1049.88,1.5343,3.46199,2.02164,1.52583,0,0.49226,0.509,0.46254,0.29232,0.49646,0.49252,0.45668,0.25345,1.29903,2.60691,1.5045,1.29111,0,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
92,1055.08,1.48526,3.43025,1.95922,1.47826,0,0.5007,0.50804,0.46085,0.28588,0.49759,0.50205,0.45624,0.24794,1.31699,2.64445,1.54229,1.30024,0,0.000270246,9.00819e-05,0.000270246,9.00819e-05,0.000270246,9.00819e-05,0.000270246,9.00819e-05
93,1059.97,1.49872,3.45894,1.94776,1.5039,0,0.46254,0.51021,0.45556,0.28203,0.46563,0.50844,0.45267,0.24613,1.32271,2.643,1.5572,1.30167,0,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05
94,1065.19,1.45091,3.38179,1.87165,1.47697,0,0.49662,0.50184,0.45671,0.28239,0.49553,0.49746,0.44949,0.24634,1.32159,2.62875,1.56506,1.3015,0,0.000216251,7.20837e-05,0.000216251,7.20837e-05,0.000216251,7.20837e-05,0.000216251,7.20837e-05
95,1070.22,1.45211,3.37659,1.86992,1.48345,0,0.51398,0.4805,0.45372,0.28097,0.51345,0.47957,0.44818,0.2471,1.31793,2.62755,1.56952,1.30071,0,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05
96,1075.53,1.41603,3.33715,1.84382,1.46154,0,0.51328,0.48578,0.45317,0.28218,0.51745,0.47443,0.4442,0.24597,1.3161,2.63618,1.57078,1.29838,0,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
97,1080.51,1.41571,3.32663,1.85392,1.45575,0,0.5095,0.4905,0.45613,0.28318,0.51341,0.47941,0.45059,0.24913,1.31188,2.63409,1.56167,1.29509,0,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05
98,1085.72,1.427,3.36676,1.84641,1.46093,0,0.48691,0.49955,0.45509,0.28144,0.4935,0.48665,0.44742,0.24707,1.30983,2.62425,1.56108,1.29278,0,0.000108262,3.60873e-05,0.000108262,3.60873e-05,0.000108262,3.60873e-05,0.000108262,3.60873e-05
99,1090.74,1.43439,3.34175,1.85409,1.48691,0,0.49209,0.49734,0.45322,0.28247,0.49687,0.48549,0.4479,0.2493,1.30583,2.62682,1.55729,1.29084,0,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05
100,1096.02,1.42431,3.33988,1.83455,1.46599,0,0.5128,0.48495,0.4568,0.28667,0.51402,0.48001,0.44947,0.25104,1.30368,2.61993,1.54953,1.28868,0,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05
