epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,323.57,1.64895,3.65939,2.31335,1.60935,0,0.44274,0.33704,0.34049,0.20238,0.4519,0.33948,0.33749,0.17289,1.40038,2.6803,1.9036,1.39224,0,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,335.071,1.65752,3.62566,2.27813,1.60711,0,0.46624,0.34526,0.34218,0.19959,0.46618,0.34371,0.3323,0.17098,1.40587,2.65617,1.88524,1.39276,0,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,344.28,1.64247,3.7062,2.28128,1.61647,0,0.44027,0.39261,0.35244,0.20464,0.43939,0.38406,0.344,0.17623,1.41584,2.65011,1.84332,1.38651,0,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,380.04,1.64052,3.66453,2.21763,1.59703,0,0.43821,0.39853,0.35593,0.20741,0.44906,0.38665,0.34637,0.17983,1.42334,2.65962,1.83978,1.38657,0,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
26,393.894,1.62372,3.60764,2.20859,1.59633,0,0.49789,0.36395,0.35727,0.21453,0.49734,0.36442,0.35469,0.18626,1.42748,2.67858,1.82168,1.39553,0,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
27,403.167,1.58384,3.57885,2.16151,1.57173,0,0.48024,0.37282,0.36065,0.21165,0.46754,0.37058,0.35451,0.18431,1.41219,2.65142,1.80673,1.38831,0,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
28,412.499,1.59302,3.59052,2.16936,1.56554,0,0.48177,0.36584,0.3653,0.21849,0.46557,0.3703,0.3593,0.19488,1.38757,2.63052,1.76683,1.36844,0,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024
29,424.65,1.57366,3.56957,2.1237,1.54388,0,0.45672,0.40323,0.37464,0.22349,0.46206,0.40625,0.37556,0.19815,1.38501,2.63357,1.76544,1.37087,0,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
30,435.963,1.59155,3.57424,2.12591,1.56663,0,0.52952,0.37168,0.38306,0.23216,0.54104,0.3698,0.38272,0.20614,1.36815,2.57904,1.74883,1.35383,0,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
31,453.691,1.56197,3.57363,2.08298,1.54802,0,0.53201,0.36453,0.3761,0.22747,0.53864,0.36216,0.37563,0.20219,1.36763,2.61548,1.72485,1.35148,0,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
32,462.88,1.60513,3.641,2.10909,1.58521,0,0.47324,0.42492,0.38299,0.2304,0.46638,0.41994,0.38358,0.2064,1.37684,2.602,1.72842,1.35434,0,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
33,471.701,1.53035,3.53748,2.05803,1.53674,0,0.47456,0.42783,0.38846,0.2331,0.47713,0.42898,0.38944,0.20112,1.36547,2.61877,1.73064,1.34461,0,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
